Mass,Species
196.02,Gorilla
262.2,Kudu
206.91,Gorilla
257.6,Kudu
166.98,Gorilla
285.2,Kudu
232.3,Kudu
208.725,Gorilla
150.645,Gorilla
147.015,Gorilla
150.645,Gorilla
156.09,Gorilla
206.91,Gorilla
276,Kudu
246.1,Kudu
255.3,Kudu
179.4,Kudu
246.1,Kudu
213.9,Kudu
168.795,Gorilla
266.8,Kudu
213.9,Kudu
188.6,Kudu
208.725,Gorilla
174.24,Gorilla
159.72,Gorilla
230,Kudu
172.5,Kudu
190.9,Kudu
241.5,Kudu
163.35,Gorilla
230,Kudu
165.165,Gorilla
241.5,Kudu
266.8,Kudu
181.5,Gorilla
225.06,Gorilla
172.5,Kudu
188.6,Kudu
223.1,Kudu
278.3,Kudu
196.02,Gorilla
243.8,Kudu
225.4,Kudu
152.46,Gorilla
148.83,Gorilla
211.6,Kudu
197.8,Kudu
227.7,Kudu
280.6,Kudu
218.5,Kudu
248.4,Kudu
177.1,Kudu
211.6,Kudu
192.39,Gorilla
174.24,Gorilla
269.1,Kudu
239.2,Kudu
215.985,Gorilla
193.2,Kudu
201.465,Gorilla
243.8,Kudu
192.39,Gorilla
271.4,Kudu
148.83,Gorilla
212.355,Gorilla
181.5,Gorilla
246.1,Kudu
266.8,Kudu
266.8,Kudu
194.205,Gorilla
165.165,Gorilla
207,Kudu
165.165,Gorilla
259.9,Kudu
276,Kudu
186.945,Gorilla
225.06,Gorilla
223.245,Gorilla
217.8,Gorilla
168.795,Gorilla
205.095,Gorilla
212.355,Gorilla
177.87,Gorilla
179.685,Gorilla
150.645,Gorilla
225.4,Kudu
212.355,Gorilla
227.7,Kudu
150.645,Gorilla
147.015,Gorilla
177.1,Kudu
213.9,Kudu
192.39,Gorilla
285.2,Kudu
196.02,Gorilla
203.28,Gorilla
212.355,Gorilla
200.1,Kudu
207,Kudu
170.61,Gorilla
201.465,Gorilla
141.57,Gorilla
253,Kudu
163.35,Gorilla
145.2,Gorilla
209.3,Kudu
282.9,Kudu
214.17,Gorilla
141.57,Gorilla
264.5,Kudu
186.945,Gorilla
216.2,Kudu
168.795,Gorilla
241.5,Kudu
148.83,Gorilla
148.83,Gorilla
139.755,Gorilla
165.165,Gorilla
215.985,Gorilla
207,Kudu
227.7,Kudu
179.685,Gorilla
223.1,Kudu
223.1,Kudu
197.8,Kudu
220.8,Kudu
259.9,Kudu
188.6,Kudu
216.2,Kudu
168.795,Gorilla
239.2,Kudu
194.205,Gorilla
194.205,Gorilla
218.5,Kudu
172.425,Gorilla
203.28,Gorilla
150.645,Gorilla
203.28,Gorilla
166.98,Gorilla
202.4,Kudu
282.9,Kudu
206.91,Gorilla
223.245,Gorilla
230,Kudu
145.2,Gorilla
143.385,Gorilla
177.1,Kudu
183.315,Gorilla
269.1,Kudu
221.43,Gorilla
190.575,Gorilla
225.06,Gorilla
172.5,Kudu
219.615,Gorilla
211.6,Kudu
248.4,Kudu
154.275,Gorilla
227.7,Kudu
179.685,Gorilla
206.91,Gorilla
203.28,Gorilla
196.02,Gorilla
216.2,Kudu
170.61,Gorilla
221.43,Gorilla
195.5,Kudu
217.8,Gorilla
197.8,Kudu
232.3,Kudu
203.28,Gorilla
192.39,Gorilla
215.985,Gorilla
227.7,Kudu
213.9,Kudu
248.4,Kudu
193.2,Kudu
278.3,Kudu
176.055,Gorilla
271.4,Kudu
246.1,Kudu
223.1,Kudu
211.6,Kudu
136.125,Gorilla
225.4,Kudu
214.17,Gorilla
199.65,Gorilla
177.1,Kudu
177.87,Gorilla
264.5,Kudu
243.8,Kudu
157.905,Gorilla
186.3,Kudu
250.7,Kudu
145.2,Gorilla
166.98,Gorilla
282.9,Kudu
232.3,Kudu
218.5,Kudu
205.095,Gorilla
